tex_math.rs:593	mathchar	perl=DefPrimitive(L573)	rust=DefConstructor
tex_math.rs:1192	lx@right	perl=DefConstructor(L766)	rust=DefMacro
tex_math.rs:836	left	perl=DefConstructor(L773)	rust=DefMacro
latex_constructs.rs:7236	vspace	perl=DefMacro(L4693)	rust=DefPrimitive
latex_constructs.rs:7834	line	perl=DefConstructor(L5044)	rust=DefMacro
latex_constructs.rs:7867	vector	perl=DefConstructor(L5048)	rust=DefMacro
latex_constructs.rs:7929	oval	perl=DefConstructor(L5061)	rust=DefMacro
latex_constructs.rs:7971	qbezier	perl=DefConstructor(L5078)	rust=DefMacro
latex_constructs.rs:7720	lx@pic@bezier	perl=DefConstructor(L5085)	rust=DefMacro
plain_base.rs:62	#	perl=DefPrimitive(L70)	rust=DefMacro
plain_base.rs:63	&	perl=DefPrimitive(L72)	rust=DefMacro
plain_base.rs:64	%	perl=DefPrimitive(L74)	rust=DefMacro
plain_base.rs:68	$	perl=DefPrimitive(L76)	rust=DefMacro
